T,Mean,Sd
0.1,1.0648197465345803,0.35
0.15,1.2470105174712327,0.35
0.2,1.4002265252340955,0.35
0.25,1.5100418244144362,0.35
0.3,1.6364116057716795,0.35
0.4,1.6914777276620516,0.35
0.5,1.6733218033616657,0.35
0.75,1.5405709907669645,0.35
1.0,1.2862994253324875,0.35
1.5,0.9688923950866986,0.35
2.0,0.7260077388728747,0.35
3.0,0.4775059505589127,0.35
4.0,0.3218376973395424,0.35
5.0,0.243730722486783,0.35
7.5,0.1403287733452931,0.35
10.0,0.0700544049551531,0.35
