T,Mean,Sd
0.1,1.852300559338756,0.573573438049231
0.15,2.027749965771362,0.5740892338382516
0.2,1.9752596436475784,0.5864157669393545
0.25,1.7052301589493697,0.58045721720079
0.3,1.5725207723621144,0.6041073657975676
0.4,1.291548658022684,0.6202400754859353
0.5,1.0783189444470598,0.6387361135660016
0.75,0.8140540842369254,0.6840086311877509
1.0,0.6105774933995973,0.6985762688023694
1.5,0.4036991407840417,0.6990988919952323
2.0,0.2818891317694529,0.7066865343661456
3.0,0.181271137177132,0.7248289906965264
4.0,0.13039447323337192,0.7003627061273983
5.0,0.1042262130736209,0.7263638285845466
7.5,0.06579054658204758,0.7364026730358603
10.0,0.03776134372958901,0.7437298795141822
