T,Mean,Sd
0.1,1.254021956097929,0.5369937153950592
0.15,1.3054579043764638,0.5396386709287742
0.2,1.2323384460685725,0.5525855561410503
0.25,1.083779779798143,0.554271109773855
0.3,0.9901188167335512,0.5724978708951839
0.4,0.800174990903321,0.5913799447289588
0.5,0.6661716945604731,0.6131805619819287
0.75,0.4968474020481344,0.6564926085363043
1.0,0.3693558540271112,0.667897348345584
1.5,0.23911429235414733,0.6776577008466883
2.0,0.1697128566260057,0.6864667969685291
3.0,0.1051366949657701,0.696656571257611
4.0,0.077383922960066,0.6860567170245172
5.0,0.061456358602305805,0.7076338584928049
7.5,0.03685246075510739,0.7094171278338783
10.0,0.022234238149853196,0.7274051271131813
