T,Mean,Sd
0.1,0.7369135456889185,0.4970546671671012
0.15,0.6796066433304754,0.5094113034292087
0.2,0.6100113784754172,0.5315482986252243
0.25,0.5285668274652096,0.5450245070004777
0.3,0.4617024357126483,0.5602880988600674
0.4,0.3557415468722046,0.582822189720358
0.5,0.28998237937593063,0.6033616852663138
0.75,0.1999200059197114,0.6310598336678449
1.0,0.1442542158612914,0.6381499655490317
1.5,0.0886329288594793,0.650273686447229
2.0,0.0628185849523784,0.6548520661161333
3.0,0.037770448858731806,0.657889762467312
4.0,0.028471635692784002,0.6730113171493756
5.0,0.021486188995778095,0.6872347770998682
7.5,0.011392276395977905,0.683811811770025
10.0,0.007099275865864397,0.6872918661261229
