T,Mean,Sd
0.1,0.6632605359904267,0.4945204848414055
0.15,0.5936944200880194,0.51004631808225
0.2,0.5320719575857396,0.536145364477254
0.25,0.4585340021880186,0.5501908652254328
0.3,0.395964127292709,0.5645543382216325
0.4,0.3046448074200926,0.587687660538341
0.5,0.2433241047122507,0.603905561715087
0.75,0.16577462111315713,0.6307524315815561
1.0,0.11861185824220971,0.6336717418285414
1.5,0.07313884353742478,0.6397035760359402
2.0,0.051102560073701404,0.6517992456961652
3.0,0.03132385426650051,0.6542948070875578
4.0,0.0229913616019171,0.6704952172370287
5.0,0.016698677928606902,0.6837957978332623
7.5,0.009364255954629898,0.6835860271777947
10.0,0.0055520125502985995,0.6807473410444435
